time,S,E,I,C,R,D,R_0_over_time,total_cases
0.0,60445999,1,0,0,0,0,3.77,0
1.0,60445998,0,0,0,0,0,3.77,0
2.0,60445998,0,0,0,0,0,3.77,0
3.0,60445998,0,0,0,0,0,3.77,0
4.0,60445998,0,0,0,0,0,3.77,0
5.0,60445997,0,0,0,0,0,3.77,0
6.0,60445997,0,1,0,0,0,3.77,1
7.0,60445996,1,1,0,0,0,3.77,1
8.0,60445996,1,1,0,0,0,3.77,1
9.0,60445995,1,1,0,0,0,3.77,1
10.0,60445994,1,2,0,1,0,3.77,3
11.0,60445993,2,2,0,1,0,3.77,3
12.0,60445992,2,3,0,1,0,3.77,4
13.0,60445990,3,3,0,2,0,3.77,5
14.0,60445989,3,4,0,2,0,3.77,6
15.0,60445987,4,5,0,3,0,3.77,8
16.0,60445984,5,6,0,3,0,3.77,9
17.0,60445981,6,7,0,4,0,3.77,11
18.0,60445978,7,8,0,5,0,3.77,13
19.0,60445974,8,10,0,6,0,3.77,16
20.0,60445969,10,12,0,7,0,3.77,19
21.0,60445963,12,14,0,9,0,3.77,23
22.0,60445957,14,17,0,10,0,3.77,27
23.0,60445949,17,20,0,12,0,3.77,32
24.0,60445940,20,24,0,15,0,3.77,39
25.0,60445928,23,28,0,18,0,3.77,46
26.0,60445915,28,33,0,21,0,3.77,54
27.0,60445900,33,40,0,25,0,3.77,65
28.0,60445882,39,47,0,30,0,3.77,77
29.0,60445860,46,56,0,35,0,3.77,91
30.0,60445834,55,66,0,42,0,3.77,108
31.0,60445804,65,78,0,50,0,3.77,128
32.0,60445768,77,93,0,59,0,3.77,152
33.0,60445726,91,110,1,70,0,3.77,181
34.0,60445675,108,130,1,83,0,3.77,214
35.0,60445616,128,154,1,98,0,3.77,253
36.0,60445546,152,182,1,116,0,3.77,299
37.0,60445463,180,215,1,137,1,3.77,354
38.0,60445364,213,255,2,163,1,3.77,421
39.0,60445248,252,302,2,193,1,3.77,498
40.0,60445110,298,357,3,228,1,3.77,589
