time,S,E,I,C,R,D,R_0_over_time,total_cases
0.0,60445999,1,0,0,0,0,3.2700000000000005,0
1.0,60445998,0,0,0,0,0,3.2700000000000005,0
2.0,60445998,0,0,0,0,0,3.2700000000000005,0
3.0,60445998,0,0,0,0,0,3.2700000000000005,0
4.0,60445998,0,0,0,0,0,3.2700000000000005,0
5.0,60445998,0,0,0,0,0,3.2700000000000005,0
6.0,60445997,0,1,0,0,0,3.2699999999999996,1
7.0,60445997,0,1,0,0,0,3.2699999999999996,1
8.0,60445996,1,1,0,0,0,3.2699999999999987,1
9.0,60445996,1,1,0,0,0,3.2699999999999987,1
10.0,60445995,1,1,0,0,0,3.269999999999997,1
11.0,60445994,1,2,0,1,0,3.269999999999995,3
12.0,60445993,2,2,0,1,0,3.2699999999999925,3
13.0,60445992,2,3,0,1,0,3.2699999999999885,4
14.0,60445991,2,3,0,1,0,3.269999999999979,4
15.0,60445990,3,4,0,2,0,3.2699999999999667,6
16.0,60445988,3,4,0,2,0,3.2699999999999445,6
17.0,60445986,4,5,0,3,0,3.2699999999999085,8
18.0,60445984,4,6,0,3,0,3.2699999999998486,9
19.0,60445982,5,7,0,4,0,3.269999999999751,11
20.0,60445979,6,8,0,4,0,3.269999999999589,12
21.0,60445975,7,9,0,5,0,3.269999999999321,14
22.0,60445971,8,11,0,6,0,3.2699999999988814,17
23.0,60445967,10,13,0,7,0,3.2699999999981557,20
24.0,60445962,11,15,0,9,0,3.2699999999969593,24
25.0,60445956,13,17,1,10,0,3.269999999994986,28
26.0,60445949,15,20,1,12,0,3.2699999999917333,33
27.0,60445941,18,23,1,14,0,3.2699999999863705,38
28.0,60445931,20,27,1,16,1,3.2699999999775287,44
29.0,60445920,24,32,1,19,1,3.269999999962951,52
30.0,60445908,28,37,2,22,1,3.2699999999389173,61
31.0,60445893,32,43,2,26,1,3.26999999989929,71
32.0,60445877,37,49,2,30,2,3.2699999998339573,81
33.0,60445857,43,57,3,35,2,3.2699999997262417,95
34.0,60445835,50,66,3,40,2,3.2699999995486486,109
35.0,60445808,58,77,4,47,3,3.2699999992558477,128
36.0,60445778,67,89,5,55,3,3.2699999987731,149
37.0,60445743,78,103,6,63,4,3.269999997977183,172
38.0,60445702,90,120,7,73,5,3.2699999966649393,200
39.0,60445655,105,139,8,85,5,3.269999994501415,232
40.0,60445601,121,161,9,99,6,3.269999990934365,269
41.0,60445538,141,186,10,114,7,3.2699999850532953,310
42.0,60445465,163,216,12,133,9,3.2699999753570497,361
43.0,60445380,189,250,14,154,10,3.2699999593706437,418
44.0,60445283,219,289,16,178,12,3.2699999330135165,483
45.0,60445169,253,335,19,207,14,3.269999889557961,561
46.0,60445038,294,388,22,239,16,3.2699998179118666,649
47.0,60444886,340,449,26,277,19,3.2699996997874337,752
48.0,60444710,394,521,30,321,22,3.269999505033193,872
49.0,60444506,456,603,35,372,25,3.2699991839377947,1010
50.0,60444270,528,698,40,431,29,3.2699986545411504,1169
51.0,60443996,612,809,47,499,34,3.2699977817141006,1355
52.0,60443680,709,936,54,578,39,3.2699963426668264,1568
53.0,60443313,821,1085,63,670,46,3.269993970082365,1818
54.0,60442888,950,1256,73,776,53,3.2699900583611123,2105
55.0,60442397,1101,1455,85,899,61,3.2699836090481256,2439
56.0,60441827,1275,1685,98,1041,71,3.269972975996712,2824
57.0,60441168,1476,1951,114,1205,83,3.2699554452437534,3270
58.0,60440404,1710,2259,132,1396,96,3.269926542421545,3787
59.0,60439520,1980,2616,153,1617,111,3.269878891091275,4386
60.0,60438496,2293,3030,177,1872,129,3.2698003310464765,5079
61.0,60437311,2655,3509,205,2168,149,3.269670817532464,5882
62.0,60435938,3074,4063,238,2511,173,3.269457313305189,6812
63.0,60434348,3560,4705,276,2908,200,3.269105378963758,7889
64.0,60432508,4122,5448,319,3368,232,3.2685253400787717,9135
65.0,60430377,4773,6309,370,3900,269,3.2675695683718047,10579
66.0,60427912,5525,7305,428,4516,311,3.2659952625506854,12249
