time,S,E,I,C,R,D,R_0_over_time,total_cases
0.0,60445999,1,0,0,0,0,3.400000000000001,0
1.0,60445998,0,0,0,0,0,3.3999999999999995,0
2.0,60445998,0,0,0,0,0,3.3999999999999995,0
3.0,60445998,0,0,0,0,0,3.3999999999999986,0
4.0,60445998,0,0,0,0,0,3.3999999999999986,0
5.0,60445998,0,0,0,0,0,3.3999999999999977,0
6.0,60445997,0,1,0,0,0,3.399999999999996,1
7.0,60445997,1,1,0,0,0,3.3999999999999932,1
8.0,60445996,1,1,0,0,0,3.3999999999999897,1
9.0,60445996,1,1,0,0,0,3.3999999999999826,1
10.0,60445995,1,2,0,0,0,3.399999999999972,2
11.0,60445994,1,2,0,1,0,3.3999999999999533,3
12.0,60445993,2,2,0,1,0,3.399999999999924,3
13.0,60445992,2,3,0,1,0,3.399999999999876,4
14.0,60445991,2,3,0,2,0,3.399999999999798,5
15.0,60445989,3,4,0,2,0,3.39999999999967,6
16.0,60445987,3,5,0,2,0,3.399999999999462,7
17.0,60445985,4,5,0,3,0,3.3999999999991246,8
18.0,60445983,5,6,0,4,0,3.399999999998572,10
19.0,60445980,6,8,0,4,0,3.399999999997675,12
20.0,60445977,7,9,0,5,0,3.3999999999962123,14
21.0,60445973,8,10,0,6,0,3.3999999999938297,16
22.0,60445968,9,12,0,7,0,3.399999999989948,19
23.0,60445963,11,14,0,8,0,3.399999999983624,22
24.0,60445957,13,17,0,10,0,3.399999999973322,27
25.0,60445950,15,20,0,12,0,3.399999999956541,32
26.0,60445942,18,23,1,14,0,3.399999999929202,38
27.0,60445932,21,27,1,16,0,3.399999999884667,44
28.0,60445921,24,31,1,19,0,3.399999999812115,51
29.0,60445908,28,37,1,22,1,3.399999999693926,60
30.0,60445893,33,43,1,26,1,3.3999999995013894,70
31.0,60445875,39,50,2,31,1,3.3999999991877345,83
32.0,60445855,45,58,2,36,1,3.399999998676776,96
33.0,60445831,53,68,2,42,2,3.399999997844395,112
34.0,60445803,61,79,3,49,2,3.399999996488402,131
35.0,60445770,71,92,3,57,2,3.399999994279413,152
36.0,60445733,83,107,4,67,3,3.3999999906808496,178
37.0,60445689,97,125,5,78,3,3.399999984818593,208
38.0,60445637,113,146,6,91,4,3.399999975268656,243
39.0,60445578,132,170,7,106,5,3.399999959711283,283
40.0,60445508,154,198,8,124,5,3.3999999343674707,330
41.0,60445427,179,230,9,144,6,3.399999893081011,383
42.0,60445333,209,268,11,168,8,3.399999825823107,447
43.0,60445224,243,313,13,196,9,3.399999716256298,522
44.0,60445096,283,364,15,228,10,3.399999537765976,607
45.0,60444947,330,424,18,266,12,3.399999246995499,708
46.0,60444774,384,494,21,310,14,3.3999987733145733,825
47.0,60444572,447,575,24,361,17,3.3999980016627065,960
48.0,60444337,521,670,28,421,20,3.3999967446004034,1119
49.0,60444064,607,780,33,490,23,3.3999946967793804,1303
50.0,60443745,707,909,39,571,27,3.39999136077303,1519
51.0,60443374,823,1058,45,665,31,3.399985926252743,1768
52.0,60442942,959,1233,53,774,37,3.3999770731663235,2060
53.0,60442439,1117,1436,61,902,43,3.399962651122938,2399
54.0,60441853,1300,1672,72,1051,50,3.399939157141622,2795
55.0,60441170,1514,1947,84,1224,58,3.39990088500239,3255
56.0,60440376,1764,2267,97,1425,68,3.3998385398306663,3789
57.0,60439450,2054,2641,113,1660,79,3.3997369820765586,4414
58.0,60438373,2392,3075,132,1933,92,3.399571554713738,5140
59.0,60437118,2785,3581,154,2251,108,3.399302106359303,5986
60.0,60435657,3243,4170,179,2622,125,3.3988632713532,6971
61.0,60433956,3776,4856,209,3053,146,3.398148679860312,8118
62.0,60431976,4396,5655,244,3555,170,3.3969853528267855,9454
63.0,60429672,5118,6585,284,4140,198,3.3950923009841416,11009
64.0,60426991,5957,7666,330,4822,231,3.3920139015622937,12818
65.0,60423873,6930,8925,385,5615,269,3.387013526600747,14925
66.0,60420252,8058,10388,448,6538,314,3.3789059161551904,17374
67.0,60416050,9361,12086,522,7612,365,3.3657987935344664,20220
68.0,60411188,10859,14056,607,8862,426,3.344709541370615,23525
69.0,60405582,12567,16332,707,10314,496,3.3110348078950347,27353
70.0,60399156,14489,18952,822,12001,577,3.2579130458436447,31775
71.0,60391860,16607,21946,955,13957,672,3.175698452198472,36858
72.0,60383694,18864,25331,1109,16218,782,3.052143955006861,42658
73.0,60374745,21143,29094,1284,18822,909,2.8744302378895963,49200
74.0,60365226,23254,33174,1483,21803,1056,2.6343020261317784,56460
75.0,60355487,24944,37448,1705,25186,1226,2.3358448172241117,64339
76.0,60345968,25957,41719,1949,28982,1421,2.0011388277998003,72650
77.0,60337087,26133,45745,2211,33179,1643,1.6664328383754883,81135
78.0,60329116,25480,49281,2483,37743,1893,1.3679756294678216,89507
79.0,60322126,24179,52143,2757,42619,2173,1.127847417710004,97519
80.0,60316024,22495,54233,3025,47738,2481,0.9501337005927395,104996
81.0,60310637,20685,55553,3279,53025,2818,0.826579203401128,111857
82.0,60305787,18935,56173,3511,58411,3180,0.7443646097559558,118095
83.0,60301325,17354,56202,3717,63833,3566,0.691242847704566,123752
84.0,60297145,15983,55762,3894,69241,3972,0.6575681142289856,128897
85.0,60293178,14822,54967,4040,74594,4396,0.6364788620651336,133601
86.0,60289379,13847,53917,4157,79864,4833,0.6233717394444093,137938
87.0,60285722,13029,52690,4246,85028,5282,0.6152641289988539,141964
88.0,60282190,12336,51351,4308,90074,5738,0.6102637540373069,145733
89.0,60278774,11741,49945,4346,94991,6200,0.607185354615459,149282
90.0,60275468,11222,48506,4363,99774,6665,0.6052923027728143,152643
91.0,60272267,10761,47058,4360,104421,7130,0.604128975739289,155839
92.0,60269167,10344,45619,4341,108931,7594,0.6034143842463998,158891
93.0,60266166,9961,44200,4308,113306,8056,0.6029755492402967,161814
94.0,60263261,9605,42808,4263,117546,8513,0.6027061008858621,164617
95.0,60260449,9272,41449,4207,121655,8965,0.6025406735230415,167311
96.0,60257728,8956,40125,4143,125636,9410,0.6024391157689338,169904
97.0,60255093,8655,38838,4072,129490,9849,0.6023767705972102,172400
98.0,60252544,8367,37588,3995,133223,10279,0.6023384984579778,174806
99.0,60250077,8091,36376,3914,136838,10701,0.6023150044766622,177128
100.0,60247690,7826,35202,3829,140337,11114,0.6023005824332767,179368
101.0,60245380,7570,34064,3741,143724,11518,0.6022917293468573,181529
102.0,60243145,7323,32962,3652,147002,11912,0.6022862948265701,183616
103.0,60240982,7084,31896,3562,150176,12297,0.60228295882022,185634
104.0,60238890,6854,30863,3471,153248,12672,0.6022809109991969,187582
105.0,60236865,6631,29864,3379,156220,13037,0.6022796539368933,189463
106.0,60234906,6416,28896,3288,159098,13393,0.6022788822850272,191282
107.0,60233010,6208,27960,3198,161882,13739,0.6022784086041013,193040
108.0,60231176,6006,27054,3108,164577,14075,0.6022781178336246,194739
109.0,60229402,5811,26178,3020,167185,14402,0.6022779393433022,196383
110.0,60227684,5623,25329,2933,169708,14720,0.6022778297764937,197970
