time,S,E,I,C,R,D,R_0_over_time,total_cases
0.0,11588999,1,0,0,0,0,2.86,0
1.0,11588998,0,0,0,0,0,2.86,0
2.0,11588998,0,0,0,0,0,2.86,0
3.0,11588998,0,0,0,0,0,2.86,0
4.0,11588998,0,0,0,0,0,2.86,0
5.0,11588998,0,0,0,0,0,2.86,0
6.0,11588997,0,0,0,0,0,2.86,0
7.0,11588997,0,1,0,0,0,2.86,1
8.0,11588997,0,1,0,0,0,2.86,1
9.0,11588996,1,1,0,0,0,2.86,1
10.0,11588996,1,1,0,0,0,2.86,1
11.0,11588995,1,1,0,1,0,2.86,2
12.0,11588995,1,2,0,1,0,2.86,3
13.0,11588994,1,2,0,1,0,2.86,3
14.0,11588993,1,2,0,1,0,2.86,3
15.0,11588992,2,3,0,2,0,2.86,5
16.0,11588991,2,3,0,2,0,2.86,5
17.0,11588990,2,3,0,2,0,2.86,5
18.0,11588989,3,4,0,3,0,2.86,7
19.0,11588987,3,4,0,3,0,2.86,7
20.0,11588985,3,5,0,4,0,2.86,9
21.0,11588983,4,6,0,4,0,2.86,10
22.0,11588981,5,7,0,5,0,2.86,12
23.0,11588979,5,8,0,6,0,2.86,14
24.0,11588976,6,9,0,7,0,2.86,16
25.0,11588973,7,10,0,8,0,2.86,18
26.0,11588969,8,11,0,9,0,2.86,20
27.0,11588965,9,13,0,10,0,2.86,23
28.0,11588961,10,15,0,12,0,2.86,27
29.0,11588956,11,17,0,14,0,2.86,31
30.0,11588950,13,19,0,16,0,2.86,35
31.0,11588944,15,21,0,18,0,2.86,39
32.0,11588936,17,24,0,20,0,2.86,44
33.0,11588928,19,27,0,23,0,2.8599999999999994,50
34.0,11588918,21,31,0,26,0,2.8599999999999985,57
35.0,11588908,24,35,0,30,0,2.859999999999998,65
36.0,11588896,28,40,0,34,0,2.859999999999996,74
37.0,11588882,31,45,0,38,0,2.8599999999999928,83
38.0,11588867,35,51,1,43,0,2.859999999999985,95
39.0,11588849,40,58,1,49,0,2.85999999999997,108
40.0,11588829,45,65,1,55,0,2.8599999999999413,121
41.0,11588807,51,74,1,63,1,2.8599999999998826,139
42.0,11588782,58,84,1,71,1,2.8599999999997663,157
43.0,11588753,66,95,1,81,1,2.859999999999534,178
44.0,11588721,75,107,2,91,1,2.8599999999990704,201
45.0,11588685,84,121,2,103,1,2.8599999999981454,227
46.0,11588643,96,137,2,117,1,2.859999999996302,257
47.0,11588597,108,155,3,132,2,2.8599999999926244,292
48.0,11588544,122,176,3,150,2,2.8599999999852908,331
49.0,11588484,138,199,4,170,2,2.8599999999706633,375
50.0,11588417,157,225,4,192,3,2.859999999941494,424
51.0,11588341,177,254,5,217,3,2.859999999883317,479
52.0,11588254,200,288,5,246,3,2.859999999767293,542
53.0,11588157,227,325,6,278,4,2.859999999535899,613
54.0,11588047,256,368,7,314,5,2.8599999990744176,694
55.0,11587922,290,416,8,356,5,2.8599999981540574,785
56.0,11587781,328,471,9,402,6,2.85999999631853,888
57.0,11587622,371,532,10,455,7,2.859999992657832,1004
58.0,11587442,419,602,12,514,8,2.859999985357089,1136
59.0,11587238,474,681,13,582,9,2.8599999707967974,1285
60.0,11587008,536,770,15,658,10,2.8599999417583652,1453
61.0,11586747,606,871,17,744,12,2.859999883845343,1644
62.0,11586453,685,984,20,842,13,2.8599997683460625,1859
63.0,11586120,775,1113,22,952,15,2.8599995379992014,2102
64.0,11585744,876,1259,25,1076,17,2.859999078605266,2377
65.0,11585318,991,1423,28,1217,19,2.8599981624098807,2687
66.0,11584837,1121,1609,32,1376,22,2.859996335190448,3039
67.0,11584293,1267,1820,37,1556,25,2.8599926910690256,3438
68.0,11583677,1433,2057,41,1760,28,2.8599854234185416,3886
69.0,11582982,1620,2326,47,1990,32,2.859970929248511,4395
70.0,11582196,1831,2630,53,2250,36,2.8599420231864414,4969
71.0,11581307,2071,2974,60,2545,41,2.859884376141152,5620
72.0,11580302,2341,3363,68,2877,46,2.859769415202532,6354
73.0,11579166,2647,3802,77,3253,52,2.859540173359912,7184
74.0,11577882,2992,4298,87,3679,59,2.8590831079670926,8123
75.0,11576430,3382,4860,99,4160,67,2.858172052369556,9186
76.0,11574791,3822,5494,111,4703,76,2.856357053194734,10384
77.0,11572939,4319,6210,126,5317,86,2.852745117890566,11739
78.0,11570850,4877,7019,143,6012,97,2.8455725840307617,13271
79.0,11568499,5500,7930,161,6797,110,2.8313898924714005,14998
80.0,11565863,6190,8955,182,7683,124,2.8035798993156327,16944
81.0,11562930,6936,10101,206,8684,140,2.749935213049621,19131
82.0,11559715,7710,11370,233,9811,159,2.649652035174648,21573
83.0,11556287,8443,12747,263,11078,179,2.472723594553307,24267
84.0,11552798,9015,14191,296,12494,203,2.1902599862956182,27184
85.0,11549493,9262,15619,331,14062,229,1.8041085456279222,30241
86.0,11546634,9055,16906,369,15775,258,1.374711361264501,33308
87.0,11544365,8404,17920,408,17610,291,0.9942723044751095,36229
88.0,11542652,7466,18572,446,19534,326,0.7193450266672683,38878
89.0,11541354,6446,18842,481,21509,365,0.5485602858740326,41197
90.0,11540321,5492,18770,512,23495,407,0.4522412143544123,43184
91.0,11539448,4675,18425,538,25460,451,0.4008593321511596,44874
92.0,11538672,4008,17882,558,27380,497,0.3742613049141412,46317
93.0,11537960,3476,17207,573,29237,544,0.36070690910403846,47561
94.0,11537295,3055,16452,582,31021,592,0.35385474350310525,48647
95.0,11536670,2719,15657,586,32723,641,0.35040480577344174,49607
96.0,11536081,2449,14850,585,34342,690,0.34867137906493534,50467
97.0,11535524,2227,14049,580,35878,739,0.34780131202924314,51246
98.0,11534999,2041,13266,572,37330,787,0.34736482079636005,51955
99.0,11534504,1883,12511,562,38703,835,0.3471459006475671,52611
100.0,11534038,1745,11787,549,39997,881,0.34703611654246735,53214
101.0,11533599,1623,11098,534,41217,927,0.3469810655853534,53776
102.0,11533186,1513,10443,517,42367,970,0.3469534613272853,54297
103.0,11532797,1414,9823,500,43449,1013,0.34693961992274336,54785
104.0,11532432,1323,9238,482,44468,1054,0.34693267958390583,55242
105.0,11532088,1240,8686,463,45426,1094,0.3469291995826939,55669
106.0,11531765,1163,8165,445,46328,1132,0.34692745465587094,56070
107.0,11531461,1091,7675,426,47176,1168,0.3469265797232845,56445
108.0,11531176,1024,7214,407,47974,1203,0.3469261410191377,56798
109.0,11530907,961,6780,388,48724,1236,0.3469259210464436,57128
110.0,11530655,903,6372,370,49429,1268,0.34692581074892265,57439
111.0,11530418,848,5988,352,50092,1298,0.3469257554441386,57730
112.0,11530196,796,5628,335,50715,1327,0.34692572771351504,58005
113.0,11529986,748,5289,318,51301,1354,0.346925713808977,58262
114.0,11529790,703,4970,302,51852,1380,0.3469257068370395,58504
115.0,11529605,660,4671,286,52370,1405,0.34692570334120865,58732
116.0,11529431,621,4389,271,52857,1428,0.3469257015883483,58945
117.0,11529268,583,4124,257,53314,1450,0.34692570070943857,59145
118.0,11529115,548,3876,243,53744,1471,0.3469257002687405,59334
119.0,11528970,515,3642,230,54149,1491,0.34692570004776807,59512
120.0,11528835,484,3423,217,54529,1510,0.34692569993696926,59679
121.0,11528708,454,3216,205,54886,1527,0.34692569988141314,59834
122.0,11528588,427,3022,194,55222,1544,0.3469256998535565,59982
123.0,11528476,401,2840,183,55537,1560,0.34692569983958876,60120
124.0,11528370,377,2669,173,55834,1575,0.34692569983258514,60251
125.0,11528271,354,2508,163,56112,1589,0.34692569982907334,60372
126.0,11528178,333,2357,154,56374,1602,0.3469256998273126,60487
127.0,11528090,313,2215,145,56620,1615,0.3469256998264297,60595
128.0,11528008,294,2081,136,56852,1626,0.346925699825987,60695
129.0,11527930,276,1956,128,57069,1637,0.346925699825765,60790
130.0,11527858,259,1838,121,57273,1648,0.3469256998256537,60880
131.0,11527789,244,1727,114,57465,1658,0.3469256998255979,60964
132.0,11527725,229,1623,107,57646,1667,0.3469256998255699,61043
133.0,11527665,215,1525,101,57815,1676,0.3469256998255559,61117
134.0,11527608,202,1433,95,57975,1684,0.34692569982554883,61187
135.0,11527555,190,1346,89,58125,1692,0.34692569982554533,61252
136.0,11527505,178,1265,84,58265,1699,0.34692569982554355,61313
137.0,11527458,168,1189,79,58398,1706,0.34692569982554267,61372
138.0,11527413,158,1117,74,58522,1712,0.34692569982554217,61425
139.0,11527372,148,1050,70,58639,1719,0.346925699825542,61478
140.0,11527333,139,987,66,58749,1724,0.3469256998255419,61526
141.0,11527296,131,927,62,58852,1730,0.34692569982554183,61571
142.0,11527262,123,871,58,58949,1735,0.34692569982554183,61613
143.0,11527229,115,819,55,59040,1739,0.3469256998255418,61653
144.0,11527199,108,769,51,59125,1744,0.3469256998255418,61689
145.0,11527170,102,723,48,59206,1748,0.3469256998255418,61725
146.0,11527143,96,679,45,59281,1752,0.3469256998255418,61757
147.0,11527118,90,638,43,59353,1756,0.3469256998255418,61790
148.0,11527094,84,600,40,59419,1759,0.3469256998255418,61818
149.0,11527072,79,563,38,59482,1763,0.3469256998255418,61846
150.0,11527051,74,529,35,59541,1766,0.3469256998255418,61871
151.0,11527031,70,498,33,59596,1769,0.3469256998255418,61896
152.0,11527013,66,468,31,59648,1771,0.3469256998255418,61918
153.0,11526995,62,439,29,59697,1774,0.3469256998255418,61939
154.0,11526979,58,413,28,59743,1776,0.3469256998255418,61960
155.0,11526964,54,388,26,59787,1779,0.3469256998255418,61980
156.0,11526949,51,364,24,59827,1781,0.3469256998255418,61996
157.0,11526936,48,342,23,59865,1783,0.3469256998255418,62013
158.0,11526923,45,322,21,59901,1785,0.3469256998255418,62029
159.0,11526911,42,302,20,59935,1786,0.3469256998255418,62043
160.0,11526900,40,284,19,59967,1788,0.3469256998255418,62058
161.0,11526889,37,267,18,59996,1790,0.3469256998255418,62071
162.0,11526879,35,251,17,60024,1791,0.3469256998255418,62083
163.0,11526870,33,236,16,60051,1793,0.3469256998255418,62096
164.0,11526861,31,221,15,60075,1794,0.3469256998255418,62105
165.0,11526853,29,208,14,60098,1795,0.3469256998255418,62115
166.0,11526845,27,195,13,60120,1796,0.3469256998255418,62124
167.0,11526838,26,184,12,60141,1797,0.3469256998255418,62134
168.0,11526831,24,173,11,60160,1798,0.3469256998255418,62142
169.0,11526824,22,162,11,60178,1799,0.3469256998255418,62150
170.0,11526818,21,152,10,60195,1800,0.3469256998255418,62157
171.0,11526813,20,143,9,60211,1801,0.3469256998255418,62164
172.0,11526807,19,134,9,60226,1802,0.3469256998255418,62171
173.0,11526802,17,126,8,60240,1803,0.3469256998255418,62177
174.0,11526798,16,119,8,60253,1803,0.3469256998255418,62183
175.0,11526793,15,111,7,60266,1804,0.3469256998255418,62188
176.0,11526789,14,105,7,60278,1804,0.3469256998255418,62194
177.0,11526785,13,98,6,60289,1805,0.3469256998255418,62198
178.0,11526782,13,92,6,60299,1806,0.3469256998255418,62203
179.0,11526778,12,87,5,60309,1806,0.3469256998255418,62207
180.0,11526775,11,82,5,60318,1807,0.3469256998255418,62212
181.0,11526772,10,77,5,60326,1807,0.3469256998255418,62215
182.0,11526769,10,72,4,60334,1807,0.3469256998255418,62217
183.0,11526766,9,68,4,60342,1808,0.3469256998255418,62222
184.0,11526764,9,63,4,60349,1808,0.3469256998255418,62224
185.0,11526761,8,60,4,60356,1809,0.3469256998255418,62229
186.0,11526759,7,56,3,60362,1809,0.3469256998255418,62230
187.0,11526757,7,53,3,60368,1809,0.3469256998255418,62233
188.0,11526755,7,49,3,60374,1810,0.3469256998255418,62236
189.0,11526753,6,46,3,60379,1810,0.3469256998255418,62238
190.0,11526751,6,44,3,60384,1810,0.3469256998255418,62241
191.0,11526750,5,41,2,60388,1810,0.3469256998255418,62241
192.0,11526748,5,38,2,60393,1811,0.3469256998255418,62244
193.0,11526747,5,36,2,60397,1811,0.3469256998255418,62246
194.0,11526745,4,34,2,60401,1811,0.3469256998255418,62248
195.0,11526744,4,32,2,60404,1811,0.3469256998255418,62249
196.0,11526743,4,30,2,60408,1811,0.3469256998255418,62251
197.0,11526742,4,28,1,60411,1812,0.3469256998255418,62252
198.0,11526741,3,26,1,60414,1812,0.3469256998255418,62253
199.0,11526740,3,25,1,60416,1812,0.3469256998255418,62254
200.0,11526739,3,23,1,60419,1812,0.3469256998255418,62255
201.0,11526738,3,22,1,60422,1812,0.3469256998255418,62257
202.0,11526737,2,20,1,60424,1812,0.3469256998255418,62257
203.0,11526736,2,19,1,60426,1812,0.3469256998255418,62258
204.0,11526736,2,18,1,60428,1812,0.3469256998255418,62259
205.0,11526735,2,17,1,60430,1813,0.3469256998255418,62261
206.0,11526734,2,16,1,60432,1813,0.3469256998255418,62262
207.0,11526734,2,15,1,60434,1813,0.3469256998255418,62263
208.0,11526733,2,14,0,60435,1813,0.3469256998255418,62262
209.0,11526733,1,13,0,60437,1813,0.3469256998255418,62263
210.0,11526732,1,12,0,60438,1813,0.3469256998255418,62263
211.0,11526732,1,11,0,60439,1813,0.3469256998255418,62263
212.0,11526731,1,11,0,60441,1813,0.3469256998255418,62265
213.0,11526731,1,10,0,60442,1813,0.3469256998255418,62265
214.0,11526730,1,9,0,60443,1813,0.3469256998255418,62265
215.0,11526730,1,9,0,60444,1813,0.3469256998255418,62266
216.0,11526730,1,8,0,60445,1813,0.3469256998255418,62266
217.0,11526729,1,8,0,60446,1813,0.3469256998255418,62267
218.0,11526729,1,7,0,60447,1813,0.3469256998255418,62267
219.0,11526729,1,7,0,60448,1813,0.3469256998255418,62268
220.0,11526728,0,6,0,60448,1814,0.3469256998255418,62268
221.0,11526728,0,6,0,60449,1814,0.3469256998255418,62269
222.0,11526728,0,6,0,60450,1814,0.3469256998255418,62270
223.0,11526728,0,5,0,60450,1814,0.3469256998255418,62269
224.0,11526728,0,5,0,60451,1814,0.3469256998255418,62270
225.0,11526727,0,4,0,60451,1814,0.3469256998255418,62269
226.0,11526727,0,4,0,60452,1814,0.3469256998255418,62270
227.0,11526727,0,4,0,60452,1814,0.3469256998255418,62270
228.0,11526727,0,4,0,60453,1814,0.3469256998255418,62271
229.0,11526727,0,3,0,60453,1814,0.3469256998255418,62270
230.0,11526726,0,3,0,60454,1814,0.3469256998255418,62271
231.0,11526726,0,3,0,60454,1814,0.3469256998255418,62271
232.0,11526726,0,3,0,60455,1814,0.3469256998255418,62272
233.0,11526726,0,3,0,60455,1814,0.3469256998255418,62272
234.0,11526726,0,2,0,60455,1814,0.3469256998255418,62271
235.0,11526726,0,2,0,60455,1814,0.3469256998255418,62271
236.0,11526726,0,2,0,60456,1814,0.3469256998255418,62272
237.0,11526726,0,2,0,60456,1814,0.3469256998255418,62272
238.0,11526726,0,2,0,60456,1814,0.3469256998255418,62272
239.0,11526726,0,2,0,60457,1814,0.3469256998255418,62273
240.0,11526725,0,1,0,60457,1814,0.3469256998255418,62272
241.0,11526725,0,1,0,60457,1814,0.3469256998255418,62272
242.0,11526725,0,1,0,60457,1814,0.3469256998255418,62272
243.0,11526725,0,1,0,60457,1814,0.3469256998255418,62272
244.0,11526725,0,1,0,60457,1814,0.3469256998255418,62272
245.0,11526725,0,1,0,60458,1814,0.3469256998255418,62273
246.0,11526725,0,1,0,60458,1814,0.3469256998255418,62273
247.0,11526725,0,1,0,60458,1814,0.3469256998255418,62273
248.0,11526725,0,1,0,60458,1814,0.3469256998255418,62273
249.0,11526725,0,1,0,60458,1814,0.3469256998255418,62273
250.0,11526725,0,1,0,60458,1814,0.3469256998255418,62273
251.0,11526725,0,0,0,60458,1814,0.3469256998255418,62272
252.0,11526725,0,0,0,60459,1814,0.3469256998255418,62273
253.0,11526725,0,0,0,60459,1814,0.3469256998255418,62273
254.0,11526725,0,0,0,60459,1814,0.3469256998255418,62273
255.0,11526725,0,0,0,60459,1814,0.3469256998255418,62273
256.0,11526725,0,0,0,60459,1814,0.3469256998255418,62273
257.0,11526725,0,0,0,60459,1814,0.3469256998255418,62273
258.0,11526725,0,0,0,60459,1814,0.3469256998255418,62273
259.0,11526725,0,0,0,60459,1814,0.3469256998255418,62273
260.0,11526725,0,0,0,60459,1814,0.3469256998255418,62273
261.0,11526725,0,0,0,60459,1814,0.3469256998255418,62273
262.0,11526725,0,0,0,60459,1814,0.3469256998255418,62273
263.0,11526725,0,0,0,60459,1814,0.3469256998255418,62273
264.0,11526724,0,0,0,60459,1814,0.3469256998255418,62273
265.0,11526724,0,0,0,60459,1814,0.3469256998255418,62273
266.0,11526724,0,0,0,60459,1814,0.3469256998255418,62273
267.0,11526724,0,0,0,60460,1814,0.3469256998255418,62274
268.0,11526724,0,0,0,60460,1814,0.3469256998255418,62274
269.0,11526724,0,0,0,60460,1814,0.3469256998255418,62274
270.0,11526724,0,0,0,60460,1814,0.3469256998255418,62274
271.0,11526724,0,0,0,60460,1814,0.3469256998255418,62274
272.0,11526724,0,0,0,60460,1814,0.3469256998255418,62274
273.0,11526724,0,0,0,60460,1814,0.3469256998255418,62274
274.0,11526724,0,0,0,60460,1814,0.3469256998255418,62274
275.0,11526724,0,0,0,60460,1814,0.3469256998255418,62274
276.0,11526724,0,0,0,60460,1814,0.3469256998255418,62274
277.0,11526724,0,0,0,60460,1814,0.3469256998255418,62274
278.0,11526724,0,0,0,60460,1814,0.3469256998255418,62274
279.0,11526724,0,0,0,60460,1814,0.3469256998255418,62274
280.0,11526724,0,0,0,60460,1814,0.3469256998255418,62274
281.0,11526724,0,0,0,60460,1814,0.3469256998255418,62274
282.0,11526724,0,0,0,60460,1814,0.3469256998255418,62274
283.0,11526724,0,0,0,60460,1814,0.3469256998255418,62274
284.0,11526724,0,0,0,60460,1814,0.3469256998255418,62274
285.0,11526724,0,0,0,60460,1814,0.3469256998255418,62274
286.0,11526724,0,0,0,60460,1814,0.3469256998255418,62274
287.0,11526724,0,0,0,60460,1814,0.3469256998255418,62274
288.0,11526724,0,0,0,60460,1814,0.3469256998255418,62274
289.0,11526724,0,0,0,60460,1814,0.3469256998255418,62274
290.0,11526724,0,0,0,60460,1814,0.3469256998255418,62274
291.0,11526724,0,0,0,60460,1814,0.3469256998255418,62274
292.0,11526724,0,0,0,60460,1814,0.3469256998255418,62274
293.0,11526724,0,0,0,60460,1814,0.3469256998255418,62274
